683b5ae3b disable auto flyio deploy since it's broken ([#5997](https://github.com/tldraw/pulls/5997)) (David Sheldrick, 2025-05-02)
8754dedf4 Indicators perf ([#5821](https://github.com/tldraw/pulls/5821)) (Steve Ruiz, 2025-05-02)
d850dc6dd Fix mask window example ([#5998](https://github.com/tldraw/pulls/5998)) (Steve Ruiz, 2025-05-02)
6b583349a Migrate radix dependencies to radix-ui package ([#5964](https://github.com/tldraw/pulls/5964)) (Steve Ruiz, 2025-05-02)
712bc0b8b Fix hover buttons ([#5969](https://github.com/tldraw/pulls/5969)) (Steve Ruiz, 2025-05-02)
53a5d7912 Export custom bg color for single frame exports ([#5993](https://github.com/tldraw/pulls/5993)) (David Sheldrick, 2025-05-02)
e02668524 Fix active states for buttons in toolbars ([#5981](https://github.com/tldraw/pulls/5981)) (Steve Ruiz, 2025-05-02)
499ea5e07 Fix gradients / hovers for open submenus ([#5974](https://github.com/tldraw/pulls/5974)) (Steve Ruiz, 2025-05-02)
dbc08cefa Fix control button wheel bug ([#5983](https://github.com/tldraw/pulls/5983)) (Steve Ruiz, 2025-05-02)
faba5d60d a11y: fix some dotcom issues ([#5992](https://github.com/tldraw/pulls/5992)) (Mime Čuvalo, 2025-05-01)
e4592f000 don't lint .schema.js ([#5989](https://github.com/tldraw/pulls/5989)) (David Sheldrick, 2025-05-01)
0aa500045 Restore DPR constrained width/height on shapes. ([#5975](https://github.com/tldraw/pulls/5975)) (alex, 2025-05-01)
fd867adaa Restore deleted margin in style panel ([#5982](https://github.com/tldraw/pulls/5982)) (Steve Ruiz, 2025-04-30)
6cb770c78 ENG 3023 Add double-click to fit frame to content on edges and corners ([#5967](https://github.com/tldraw/pulls/5967)) (budatl, 2025-04-30)
e0dbcebeb Increase view syncer cpu. ([#5980](https://github.com/tldraw/pulls/5980)) (Mitja Bezenšek, 2025-04-30)
b13306647 Bump again. ([#5972](https://github.com/tldraw/pulls/5972)) (Mitja Bezenšek, 2025-04-29)
ce8e6cffa a11y: dont go into edit mode when moving to canvas content ([#5957](https://github.com/tldraw/pulls/5957)) (Mime Čuvalo, 2025-04-29)
eb5f191f6 Add overlays component ([#5952](https://github.com/tldraw/pulls/5952)) (alex, 2025-04-29)
bbec36f93 Fix flickering when rotating arrow ([#5951](https://github.com/tldraw/pulls/5951)) (alex, 2025-04-29)
20587b08d [automated] update i18n strings ([#5968](https://github.com/tldraw/pulls/5968)) (github-actions[bot], 2025-04-29)
2449ca610 a11y: better embed interaction ([#5958](https://github.com/tldraw/pulls/5958)) (Mime Čuvalo, 2025-04-29)
37377fbef a11y: make toolbars more compliant with keyboard navigation ([#5872](https://github.com/tldraw/pulls/5872)) (Mime Čuvalo, 2025-04-25)
1a9d2f148 Bump zero ([#5953](https://github.com/tldraw/pulls/5953)) (Mitja Bezenšek, 2025-04-25)
0062c3fc7 templates: Fix simple server node example dropping messages on initial connection ([#5949](https://github.com/tldraw/pulls/5949)) (Ante Sepic, 2025-04-24)
44a0b4269 INT-1266 Remove GitHub CTA from SDK error dialogs ([#5947](https://github.com/tldraw/pulls/5947)) (budatl, 2025-04-24)
9061a9bbd [automated] update i18n strings ([#5936](https://github.com/tldraw/pulls/5936)) (github-actions[bot], 2025-04-22)
ca982decc license: allow ability to do VS code extensions ([#5940](https://github.com/tldraw/pulls/5940)) (Mime Čuvalo, 2025-04-22)
9bb828b35 a11y: fix up select dropdown in share; also error dialog ([#5941](https://github.com/tldraw/pulls/5941)) (Mime Čuvalo, 2025-04-22)
ae83a75c9 a11y: add rich text shortcuts to dialog; add shortcut for links ([#5912](https://github.com/tldraw/pulls/5912)) (Mime Čuvalo, 2025-04-22)
d84fd6da5 Stop sending `first-connect-duration` event ([#5939](https://github.com/tldraw/pulls/5939)) (Mitja Bezenšek, 2025-04-22)
ea6e50365 Move license key docs to docs site ([#5919](https://github.com/tldraw/pulls/5919)) (Lu Wilson, 2025-04-17)
dc099cf30 Fix getSelectedShapes caching ([#5928](https://github.com/tldraw/pulls/5928)) (David Sheldrick, 2025-04-17)
bec6f90d2 Optimize query. ([#5923](https://github.com/tldraw/pulls/5923)) (Mitja Bezenšek, 2025-04-17)
da15a0065 Update series A copy ([#5887](https://github.com/tldraw/pulls/5887)) (Lu Wilson, 2025-04-17)
42efa4c14 Fix user following chains + add loop support ([#5924](https://github.com/tldraw/pulls/5924)) (David Sheldrick, 2025-04-17)
d403fcffd Bump zero version. ([#5915](https://github.com/tldraw/pulls/5915)) (Mitja Bezenšek, 2025-04-17)
3ac739625 Deploy zero on demand. ([#5885](https://github.com/tldraw/pulls/5885)) (Mitja Bezenšek, 2025-04-17)
3095a57e7 [INT-1278] Move Import file under File menu ([#5839](https://github.com/tldraw/pulls/5839)) (budatl, 2025-04-16)
a2884bb1b docs: should be a nav, not aside ([#5913](https://github.com/tldraw/pulls/5913)) (Mime Čuvalo, 2025-04-15)
52e231496 stickies: make sure our custom tab behavior takes over the rich text behavior ([#5908](https://github.com/tldraw/pulls/5908)) (Mime Čuvalo, 2025-04-15)
1793786af Fix group bounds containing text shapes ([#5909](https://github.com/tldraw/pulls/5909)) ([#5910](https://github.com/tldraw/pulls/5910)) (alex, 2025-04-15)
