"Slug",":draft","Title","Description"
"commercial","true","Commercial","Marketing"
"announcements","false","Announcements","Announcements from the tldraw team."
"case-studies","false","Case studies","Stories from customers and teams."
"product","false","Product","The latest on the tldraw product."
"release-notes","false","Release notes","Release notes for the tldraw SDK."
