"Slug",":draft","Name","Role","Pic","Pic:alt","Social"
"daniel-david","true","Daniel David","Marketing Lead","https://framerusercontent.com/images/4ytz7AxoizXGnlg8RxszfdG9mk.jpg","","<p><br></p>"
"ani-krishnan","true","Ani Krishnan","Software Engineer","https://framerusercontent.com/images/AFj8f3gSimoMGDqRQWlxweu3XcA.jpeg","",""
"lu-wilson","false","Lu Wilson","Software Engineer","https://framerusercontent.com/images/N9aUty9QEe03EhcvYKKRsODFK0.webp","","<p><a href=""https://twitter.com/todepond"" target=""_blank"">@todepond</a></p>"
"steve-ruiz","false","Steve Ruiz","CEO","https://framerusercontent.com/images/ajxYSbo9CUsc9H0nuNWSHu397g.webp","","<p><a href=""https://twitter.com/steveruizok"" target=""_blank"">@steveruizok</a></p>"
